	artist_id	artist	n_songs_played
0	0	-	93
1	1	.38 Special	47
2	2	10 Years	152
3	3	2Pac	146
4	4	3 Doors Down	274
5	5	311	32
6	6	3rd Force	21
7	7	50 Cent	66
8	8	A Day To Remember	63
9	9	A Perfect Circle	33
10	10	A-Ha	39
11	11	A. Green	256
12	12	AC\/DC	888
13	13	ALX Villarreal	43
14	14	Aaliyah	46
15	15	Aaron Lewis	36
16	16	Aaron Neville	43
17	17	Aaron Shust	138
18	18	Aaron Tippin	21
19	19	Abba	39
20	20	Ace	112
21	21	Ace Hood	106
22	22	Ace Of Base	20
23	23	Acoustic Alchemy	21
24	24	Adam Lambert	95
25	25	Addison Road	166
26	26	Adele	217
27	27	Aerosmith	567
28	28	Aiden	29
29	29	Akon	59
30	30	Al B. Sure!	29
31	31	Al Green	69
32	32	Al Jarreau	30
33	33	Alabama	140
34	34	Alacranes Musical	23
35	35	Alan Jackson	462
36	36	Alanis Morissette	71
37	37	Alannah Myles	27
38	38	Alejandro Fernandez	68
39	39	Alenadro Fernadez	41
40	40	Alex Cuba	33
41	41	Alex Sensation Vs. Omega	27
42	42	Alex, Jorge Y Lena	70
43	43	Alexandra Stan	20
44	44	Alexis & Fido	91
45	45	Alice In Chains	706
46	46	Alicia Keys	218
47	47	Alien Ant Farm	31
48	48	Alison Krauss	35
49	49	All That Remains	138
50	50	Alter Bridge	167
51	51	Alto Rango	24
52	52	America	58
53	53	Among The Thirsty	29
54	54	Amos Lee	48
55	55	Amy Grant	136
56	56	Ana Gabriel	21
57	57	Anberlin	116
58	58	Andrew Peterson	70
59	59	Andy Williams	25
60	60	Anita Baker	76
61	61	Anna Nalick	41
62	62	Annie Lennox	20
63	63	Apocalyptica	148
64	64	Art Of Dying	41
65	65	Ashton Shepherd	136
66	66	Aswad	29
67	67	Audio Adrenaline	31
68	68	Audioslave	121
69	69	Autograph	28
70	70	Avalon	43
71	71	Avenged Sevenfold	484
72	72	Aventura	148
73	73	Avril Lavigne	130
74	74	Awolnation	37
75	75	Ayeisha Woods	22
76	76	Ayiesha Woods	25
77	77	B.E.T.	78
78	78	B.o.B	216
79	79	B.o.B.	189
80	80	Baby Bash	132
81	81	Bachata Heightz	26
82	82	Bachman-Turner Overdrive	104
83	83	Backstreet Boys	27
84	84	Bad Company	114
85	85	Badfinger	21
86	86	Banda Culiacancito	30
87	87	Banda El Limon	77
88	88	Banda El Recodo	241
89	89	Banda El Recodo De Don Cruz Lizarraga	49
90	90	Banda La Costena	32
91	91	Banda Los Recoditos	157
92	92	Banda MS	89
93	93	Banda Machos	48
94	94	Banda San Jose De Mesillas	33
95	95	Banda Sinaloense MS	28
96	96	Barenaked Ladies	23
97	97	BarlowGirl	28
98	98	Barry White	29
99	99	Basia	20
100	100	Bayside	40
101	101	Bebe Winans & Cece Winans	43
102	102	Bebo Norman	111
103	103	Beck	75
104	104	Beckah Shae	54
105	105	Ben E. King	21
106	106	Benny Mardones	18
107	107	Beres Hammond	95
108	108	Berlin	31
109	109	Bernie Williams	78
110	110	Beto Y Sus Canarios	22
111	111	Beto Zapata	26
112	112	Beverly Crawford	134
113	113	Beyonce	181
114	114	Big & Rich	42
115	115	Big Daddy Weave	104
116	116	Big Mountain	52
117	117	Big Pun	27
118	118	Big Sean	118
119	119	Bill Medley	32
120	120	Bill Withers	108
121	121	Billy Currington	808
122	122	Billy Idol	110
123	123	Billy Joel	326
124	124	Billy Squier	55
125	125	Billy Talent	24
126	126	Bing Crosby	21
127	127	Birdman	139
128	128	Black Eyed Peas	615
129	129	Black Sabbath	180
130	130	Blake Aaron	50
131	131	Blake Shelton	831
132	132	Blind Melon	44
133	133	Blink-182	92
134	134	Blondie	75
135	135	Blue Oyster Cult	70
136	136	Blues Traveler	45
137	137	Bluetree	41
138	138	Blur	55
139	139	Bob James	23
140	140	Bob Marley & The Wailers	694
141	141	Bob Seger	28
142	142	Bob Seger & The Silver Bullet Band	139
143	143	Bobby Brackins	27
144	144	Bobby Caldwell	39
145	145	Bobby Helms	21
146	146	Bobby McFerrin	21
147	147	Bobby V	121
148	148	Bon Jovi	312
149	149	Boney James	92
150	150	Boney James & Rick Braun	21
151	151	Bonnie Raitt	86
152	152	Bonnie Tyler	23
153	153	Booker T. & The MG's	31
154	154	Boston	242
155	155	Bow Wow	58
156	156	Boz Scaggs	49
157	157	Brad Paisley	1292
158	158	Bradley Gaskin	19
159	159	Brandon Flowers	40
160	160	Brandon Heath	614
161	161	Brantley Gilbert	20
162	162	Breaking Benjamin	285
163	163	Brenda Lee	34
164	164	Brenda Russell	23
165	165	Brett Eldredge	111
166	166	Brian Bromberg	23
167	167	Brian C. Wilson	29
168	168	Brian Culbertson	158
169	169	Brian Littrell	21
170	170	Brian McKnight	50
171	171	Brian Simpson	25
172	172	Bright Eyes	23
173	173	Britney Spears	342
174	174	Britt Nicole	169
175	175	Broadway Calls	29
176	176	Bronco	128
177	177	Brooke Fraser	26
178	178	Brooks & Dunn	300
179	179	Bruce Hornsby & The Range	36
180	180	Bruce Springsteen	135
181	181	Bruno Mars	1597
182	182	Bryan Adams	167
183	183	Buckcherry	102
184	184	Buffalo Springfield	34
185	185	Building 429	76
186	186	Bullet For My Valentine	64
187	187	Burl Ives	35
188	188	Bush	330
189	189	Busta Rhymes	24
190	190	Butthole Surfers	24
191	191	By The Tree	57
192	192	Byron Cage	23
193	193	CHRIS AND CONRAD	24
194	194	Cage The Elephant	298
195	195	Cake	129
196	196	Cali Swag District	34
197	197	Calibre 50	105
198	198	California Swag District	103
199	199	Camila	208
200	200	Candlebox	102
201	201	Candy Dulfer	52
202	202	Cardenales De Nuevo Leon	81
203	203	Carlos Baute	104
204	204	Carlos Baute & Marta Sanchez	42
205	205	Carlos Y Alejandra	22
206	206	Carlos Y Jose	28
207	207	Carrie Underwood	685
208	208	Cassie	22
209	209	Casting Crowns	971
210	210	Cavo	24
211	211	Cee-Lo Green	273
212	212	Celine Dion	44
213	213	Celso Pina	37
214	214	Chad Brock	23
215	215	Charlie Wilson	39
216	216	Chasen	23
217	217	Chayanne	102
218	218	Cheap Trick	67
219	219	Cher	34
220	220	Chevelle	192
221	221	Chicago	159
222	222	Chino & Nacho	58
223	223	Chino Y Nacho	34
224	224	Chris And Conrad	116
225	225	Chris August	322
226	226	Chris Botti	27
227	227	Chris Brown	1292
228	228	Chris Brown & Tyga	362
229	229	Chris Cagle	40
230	230	Chris Isaak	23
231	231	Chris Rice	23
232	232	Chris Sligh	19
233	233	Chris Standring	94
234	234	Chris Tomlin	1146
235	235	Chris Young	642
236	236	Christina Aguilera	70
237	237	Christina Perri	134
238	238	Chuck Mangione	26
239	239	Chuck Wicks	19
240	240	Chuy Lizarraga	21
241	241	Chuy Lizarraga Y Su Banda Tierra Sinaloense	46
242	242	Ciara	33
243	243	City And Colour	31
244	244	City On A Hill	51
245	245	Clay Walker	60
246	246	Club Nouveau	34
247	247	Coheed & Cambria	26
248	248	Colbie Caillat	274
249	249	Colby O'Donis	22
250	250	Cold	19
251	251	Coldplay	169
252	252	Collective Soul	154
253	253	Collie Buddz	92
254	254	Comeback Kid	34
255	255	Conjunto Atardecer	21
256	256	Conjunto Primavera	231
257	257	Corey Hart	44
258	258	Corinne Bailey Rae	91
259	259	Counting Crows	74
260	260	Cracker	59
261	261	Craig Campbell	174
262	262	Craig Chaquico	47
263	263	Craig Morgan	228
264	264	Craig Sharmat	43
265	265	Cream	28
266	266	Creed	124
267	267	Creedence Clearwater Revival	233
268	268	Cristian Castro	34
269	269	Crosby, Stills & Nash	21
270	270	Crossfade	44
271	271	Crowded House	31
272	272	Cumbre Nortena	57
273	273	Curb Records	99
274	274	Cutting Crew	41
275	275	Cyndi Lauper	93
276	276	D.H.T.	28
277	277	DJ Khaled	251
278	278	Daddy Yankee	72
279	279	Damian 'Junior Gong' Marley	123
280	280	Damm D	32
281	281	Dan Hartman	20
282	282	Dan Seals	21
283	283	Dancing Fantasy	20
284	284	Daniel Powter	50
285	285	Danzig	71
286	286	Dareyes De La Sierra	43
287	287	Darius Rucker	682
288	288	Darren Rahn	94
289	289	Darryl Worley	27
290	290	Daryl Hall & John Oates	149
291	291	Daughtry	509
292	292	Dave Barnes	94
293	293	Dave Brubeck	43
294	294	Dave Koz	122
295	295	Dave Koz & Dana Glover	54
296	296	Dave Matthews Band	21
297	297	David Benoit	89
298	298	David Bowie	23
299	299	David Cook	81
300	300	David Crowder Band	289
301	301	David G. Evans	21
302	302	David Gray	54
303	303	David Guetta	186
304	304	David Lee Murphy	48
305	305	David Nail	86
306	306	Dawn Penn	30
307	307	Days Of The New	54
308	308	Death Cab For Cutie	45
309	309	Deep Blue Something	40
310	310	Deep Purple	32
311	311	Def Leppard	418
312	312	Deftones	105
313	313	Del Amitri	41
314	314	Depeche Mode	43
315	315	Derek & The Dominos	26
316	316	Des'Ree	59
317	317	Destroy Rebuild Until God Shows	28
318	318	Detour 180	19
319	319	Dev	91
320	320	Dexy's Midnight Runners	24
321	321	Diamond Rio	86
322	322	Diana Krall	21
323	323	Diddy & Dirty Money	33
324	324	Diddy-Dirty Money	436
325	325	Dido	124
326	326	Diego Verdaguer	25
327	327	Dierks Bentley	392
328	328	Dio	139
329	329	Dire Straits	55
330	330	Disturbed	636
331	331	Doc Powell	23
332	332	Dom Omar	172
333	333	Don Henley	96
334	334	Don McLean	20
335	335	Don Omar	115
336	336	Donna Lewis	31
337	337	Dorrough Music	42
338	338	Down To The Bone	29
339	339	Downhere	120
340	340	Dr. Dre	338
341	341	Drake	720
